Acronim_Departament,Any,Kind,Cont
AC,2013,Projectes competitius,77
AC,2014,Projectes competitius,73
AC,2015,Projectes competitius,78
AC,2016,Projectes competitius,78
AC,2017,Projectes competitius,83
AC,2018,Projectes competitius,73
AC,2019,Projectes competitius,90
AC,2020,Projectes competitius,94
AC,2021,Projectes competitius,88
CEM,2013,Projectes competitius,46
CEM,2014,Projectes competitius,45
CEM,2015,Projectes competitius,45
CEM,2016,Projectes competitius,45
CEM,2017,Projectes competitius,47
CEM,2018,Projectes competitius,54
CEM,2019,Projectes competitius,83
CEM,2020,Projectes competitius,67
CEM,2021,Projectes competitius,85
CS,2013,Projectes competitius,69
CS,2014,Projectes competitius,60
CS,2015,Projectes competitius,58
CS,2016,Projectes competitius,52
CS,2017,Projectes competitius,57
CS,2018,Projectes competitius,54
CS,2019,Projectes competitius,64
CS,2020,Projectes competitius,77
CS,2021,Projectes competitius,78
DECA,2013,Projectes competitius,0
DECA,2014,Projectes competitius,0
DECA,2015,Projectes competitius,7
DECA,2016,Projectes competitius,76
DECA,2017,Projectes competitius,116
DECA,2018,Projectes competitius,155
DECA,2019,Projectes competitius,189
DECA,2020,Projectes competitius,186
DECA,2021,Projectes competitius,195
EEL,2013,Projectes competitius,123
EEL,2014,Projectes competitius,117
EEL,2015,Projectes competitius,110
EEL,2016,Projectes competitius,108
EEL,2017,Projectes competitius,125
EEL,2018,Projectes competitius,104
EEL,2019,Projectes competitius,124
EEL,2020,Projectes competitius,121
EEL,2021,Projectes competitius,112
EQ,2013,Projectes competitius,80
EQ,2014,Projectes competitius,85
EQ,2015,Projectes competitius,81
EQ,2016,Projectes competitius,73
EQ,2017,Projectes competitius,85
EQ,2018,Projectes competitius,82
EQ,2019,Projectes competitius,89
EQ,2020,Projectes competitius,96
EQ,2021,Projectes competitius,96
ESAII,2013,Projectes competitius,57
ESAII,2014,Projectes competitius,70
ESAII,2015,Projectes competitius,69
ESAII,2016,Projectes competitius,67
ESAII,2017,Projectes competitius,81
ESAII,2018,Projectes competitius,81
ESAII,2019,Projectes competitius,104
ESAII,2020,Projectes competitius,102
ESAII,2021,Projectes competitius,113
FIS,2013,Projectes competitius,0
FIS,2014,Projectes competitius,1
FIS,2015,Projectes competitius,5
FIS,2016,Projectes competitius,58
FIS,2017,Projectes competitius,85
FIS,2018,Projectes competitius,112
FIS,2019,Projectes competitius,132
FIS,2020,Projectes competitius,127
FIS,2021,Projectes competitius,133
MAT,2013,Projectes competitius,0
MAT,2014,Projectes competitius,0
MAT,2015,Projectes competitius,9
MAT,2016,Projectes competitius,48
MAT,2017,Projectes competitius,72
MAT,2018,Projectes competitius,91
MAT,2019,Projectes competitius,105
MAT,2020,Projectes competitius,109
MAT,2021,Projectes competitius,100
TSC,2013,Projectes competitius,123
TSC,2014,Projectes competitius,112
TSC,2015,Projectes competitius,91
TSC,2016,Projectes competitius,77
TSC,2017,Projectes competitius,87
TSC,2018,Projectes competitius,77
TSC,2019,Projectes competitius,87
TSC,2020,Projectes competitius,88
TSC,2021,Projectes competitius,92
AC,2013,Presentacions en congressos,156
AC,2014,Presentacions en congressos,179
AC,2015,Presentacions en congressos,140
AC,2016,Presentacions en congressos,151
AC,2017,Presentacions en congressos,127
AC,2018,Presentacions en congressos,156
AC,2019,Presentacions en congressos,123
AC,2020,Presentacions en congressos,77
AC,2021,Presentacions en congressos,94
CEM,2013,Presentacions en congressos,100
CEM,2014,Presentacions en congressos,113
CEM,2015,Presentacions en congressos,77
CEM,2016,Presentacions en congressos,88
CEM,2017,Presentacions en congressos,74
CEM,2018,Presentacions en congressos,80
CEM,2019,Presentacions en congressos,59
CEM,2020,Presentacions en congressos,64
CEM,2021,Presentacions en congressos,24
CS,2013,Presentacions en congressos,167
CS,2014,Presentacions en congressos,159
CS,2015,Presentacions en congressos,144
CS,2016,Presentacions en congressos,134
CS,2017,Presentacions en congressos,78
CS,2018,Presentacions en congressos,108
CS,2019,Presentacions en congressos,81
CS,2020,Presentacions en congressos,45
CS,2021,Presentacions en congressos,50
DECA,2013,Presentacions en congressos,1
DECA,2014,Presentacions en congressos,1
DECA,2015,Presentacions en congressos,50
DECA,2016,Presentacions en congressos,325
DECA,2017,Presentacions en congressos,331
DECA,2018,Presentacions en congressos,274
DECA,2019,Presentacions en congressos,317
DECA,2020,Presentacions en congressos,105
DECA,2021,Presentacions en congressos,182
EEL,2013,Presentacions en congressos,224
EEL,2014,Presentacions en congressos,175
EEL,2015,Presentacions en congressos,168
EEL,2016,Presentacions en congressos,178
EEL,2017,Presentacions en congressos,156
EEL,2018,Presentacions en congressos,163
EEL,2019,Presentacions en congressos,97
EEL,2020,Presentacions en congressos,63
EEL,2021,Presentacions en congressos,79
EQ,2013,Presentacions en congressos,111
EQ,2014,Presentacions en congressos,128
EQ,2015,Presentacions en congressos,119
EQ,2016,Presentacions en congressos,86
EQ,2017,Presentacions en congressos,89
EQ,2018,Presentacions en congressos,114
EQ,2019,Presentacions en congressos,75
EQ,2020,Presentacions en congressos,37
EQ,2021,Presentacions en congressos,87
ESAII,2013,Presentacions en congressos,164
